,vv_list,vh_list,vv/vh_list
0,"[0.17427529394626617, 0.08841396868228912, 0.0723615288734436, 0.08394548296928406, 0.14177770912647247, 0.22093309462070465, 0.5014554262161255, 0.13426519930362701, 0.1674918532371521, 0.08687162399291992, 0.08611944317817688, 0.02757544443011284, 0.07908455282449722, 0.1091766208410263, 0.06077991798520088, 0.2303357869386673, 0.056835416704416275, 0.014653644524514675, 0.020119400694966316]","[0.08243045955896378, 0.03656535595655441, 0.013551237992942333, 0.0050364830531179905, 0.006352915428578854, 0.008861815556883812, 0.03316095471382141, 0.05277262255549431, 0.019049610942602158, 0.027005119249224663, 0.04320063441991806, 0.025618599727749825, 0.023501427844166756, 0.03607279434800148, 0.017303286120295525, 0.07863854616880417, 0.014663631096482277, 0.004231377970427275, 0.004517051856964827]","[2.114209903459344, 2.417970955549819, 5.339846360246234, 16.667480478727118, 22.31695207033287, 24.930906449422203, 15.121863364419964, 2.544220711457674, 8.792402833938029, 3.216857633221304, 1.9934763536359248, 1.0763837494304336, 3.3650956592463657, 3.026564002438446, 3.5126228372257198, 2.929044319362573, 3.875944254902237, 3.4630904227718955, 4.454100004175131]"
1,"[0.11191986501216888, 0.1549035906791687, 0.10716796666383743, 0.1534879207611084, 0.2833768427371979, 0.17996788024902344, 0.35030272603034973, 0.11968307942152023, 0.06837273389101028, 0.07322431355714798, 0.12050563097000122, 0.04749135673046112, 0.02465011551976204, 0.034003522247076035, 0.0472278855741024, 0.0262273121625185, 0.025170061737298965, 0.015396389178931713, 0.014188958331942558]","[0.1046980619430542, 0.05843976140022278, 0.04719535633921623, 0.0507170595228672, 0.012904457747936249, 0.011414307169616222, 0.020831076428294182, 0.04211125522851944, 0.018392834812402725, 0.03343817964196205, 0.060138482600450516, 0.010782016441226006, 0.025693589821457863, 0.033307138830423355, 0.012668357230722904, 0.025651676580309868, 0.01776101626455784, 0.007506118156015873, 0.004149334505200386]","[1.0689774283791678, 2.6506540575742012, 2.270731168837217, 3.026356855170282, 21.959608708278893, 15.766868507628782, 16.816352589179925, 2.842068676700618, 3.7173570354095133, 2.189841502773008, 2.003802320231779, 4.404682277136368, 0.9593877574544148, 1.0209079326866886, 3.728019719839192, 1.0224404662364444, 1.4171521135041072, 2.051178633071754, 3.419574467703062]"
2,"[0.2638052999973297, 0.2214309573173523, 0.0379822738468647, 0.013597564771771431, 0.009592603892087936, 0.12487903982400894, 0.09225976467132568, 0.0831528902053833, 0.1343529224395752, 0.09663234651088715, 0.0895075798034668, 0.07982863485813141, 0.0768192708492279, 0.3212563097476959, 0.31155768036842346, 0.19735229015350342, 0.1444825679063797, 0.011889512650668621, 0.01120731234550476]","[0.01732488162815571, 0.036596182733774185, 0.00380044081248343, 0.005052450578659773, 0.00303699285723269, 0.005927409511059523, 0.07042717933654785, 0.04656337574124336, 0.025653550401329994, 0.04818331077694893, 0.013768400065600872, 0.019450770691037178, 0.029741985723376274, 0.06461533159017563, 0.035530973225831985, 0.0874038115143776, 0.015565809793770313, 0.0021199684124439955, 0.007202574517577887]","[15.22696117984459, 6.050657220950979, 9.99417586562672, 2.6912811041050024, 3.158586253913262, 21.06806347545352, 1.3100022681647838, 1.7858002965135298, 5.237205780008125, 2.005514875435177, 6.500942693195962, 4.104137369472772, 2.582856153711699, 4.971827921355758, 8.768622193042338, 2.2579368878099753, 9.282046345202287, 5.608344247432372, 1.5560147719615132]"
3,"[0.15919247269630432, 0.22822993993759155, 0.058075323700904846, 0.010164465755224228, 0.1279074251651764, 0.07828493416309357, 0.04789761081337929, 0.04133659973740578, 0.04919305443763733, 0.023090910166502, 0.02090129628777504, 0.015089042484760284, 0.049932707101106644, 0.05638294294476509, 0.03273148834705353, 0.15888603031635284, 0.0535159632563591, 0.013664208352565765, 0.0064040725119411945]","[0.017430339008569717, 0.026828084141016006, 0.00981211755424738, 0.0033414813224226236, 0.003462916938588023, 0.012430967763066292, 0.016527654603123665, 0.03857363387942314, 0.010071167722344398, 0.018098527565598488, 0.010681431740522385, 0.013983995653688908, 0.012859808281064034, 0.031113434582948685, 0.016421299427747726, 0.04591002315282822, 0.005703549832105637, 0.0019657753873616457, 0.004270518664270639]","[9.133068072745832, 8.507127782138687, 5.91873501105434, 3.0419041061270513, 36.93632490571074, 6.29757358036808, 2.8980283024747395, 1.0716283528437938, 4.884543261899526, 1.2758446830996897, 1.9567878909417478, 1.079022252182971, 3.8828500402010007, 1.812173541768514, 1.9932337566262157, 3.460813552357464, 9.382922010274095, 6.9510527196624965, 1.4996006376276882]"
4,"[0.11692854017019272, 0.22932827472686768, 0.010979626327753067, 0.11503015458583832, 0.07553306967020035, 0.19114051759243011, 0.04373053461313248, 0.08244119584560394, 0.10530060529708862, 0.036503467708826065, 0.035612691193819046, 0.07471100986003876, 0.029528256505727768, 0.12054048478603363, 0.16034172475337982, 0.16954094171524048, 0.1006159782409668, 0.020164361223578453, 0.03293190896511078]","[0.03386666253209114, 0.04881248250603676, 0.007781651336699724, 0.01096370629966259, 0.002912350930273533, 0.013683312572538853, 0.05100960284471512, 0.030377188697457314, 0.016772635281085968, 0.014239205047488213, 0.026911215856671333, 0.03832220286130905, 0.010207152925431728, 0.01221394445747137, 0.012765257619321346, 0.031810350716114044, 0.009554981254041195, 0.0032496005296707153, 0.004950234666466713]","[3.452614796612875, 4.6981481570519605, 1.410963541372137, 10.491904055235262, 25.935428620583906, 13.968877534525632, 0.8573000410581163, 2.7139178897257397, 6.278119301612262, 2.5635888792306742, 1.3233401041220738, 1.9495489372159411, 2.8928984136366136, 9.869087353864462, 12.560790352612113, 5.329741354576037, 10.53021199789504, 6.2051815413821725, 6.652595520005177]"
5,"[0.15972237288951874, 0.17935828864574432, 0.13920210301876068, 0.12034270912408829, 0.0558650903403759, 0.3236255943775177, 0.16312141716480255, 0.06810370087623596, 0.05737631395459175, 0.11203879117965698, 0.09481261670589447, 0.03650062531232834, 0.03345823660492897, 0.07146584242582321, 0.05175129324197769, 0.267183393239975, 0.21154093742370605, 0.013854501768946648, 0.026390377432107925]","[0.11815961450338364, 0.07297742366790771, 0.013120458461344242, 0.013015009462833405, 0.0036721674259752035, 0.009311682544648647, 0.02289350889623165, 0.010678151622414589, 0.01852111890912056, 0.03709101676940918, 0.005824589636176825, 0.017135323956608772, 0.015980510041117668, 0.030364206060767174, 0.03023754432797432, 0.1208534836769104, 0.025708094239234924, 0.0037943776696920395, 0.0071413819678127766]","[1.351750964666061, 2.4577229454130247, 10.609545651844462, 9.246455753086279, 15.213110912430693, 34.75479246911213, 7.125225665675605, 6.377854827728703, 3.0978859450190828, 3.0206449145406276, 16.27799083338137, 2.1301392027812076, 2.0936901587522123, 2.353621309340356, 1.711491273254617, 2.210804232621567, 8.228573283384756, 3.651323873111216, 3.695416034466873]"
6,"[0.0939115360379219, 0.016259565949440002, 0.20756100118160248, 0.08675509691238403, 0.033999256789684296, 0.015461727045476437, 0.09747172892093658, 0.15678410232067108, 0.12748099863529205, 0.22251933813095093, 0.08155325055122375, 0.06972387433052063, 0.09253711998462677, 0.09636643528938293, 0.07749796658754349, 0.04851274937391281, 0.32064470648765564, 0.01138374675065279, 0.020660148933529854]","[0.055010195821523666, 0.046163786202669144, 0.04738231748342514, 0.04179226979613304, 0.005390685051679611, 0.006768242456018925, 0.006199746858328581, 0.016522370278835297, 0.047045111656188965, 0.043572865426540375, 0.06721155345439911, 0.006097361445426941, 0.028342876583337784, 0.018871529027819633, 0.01659483090043068, 0.04658988118171692, 0.02034156210720539, 0.0038398895412683487, 0.005811696872115135]","[1.7071660014192758, 0.3522147398841365, 4.3805582378744905, 2.075864683482956, 6.307038245369375, 2.2844522999802543, 15.721888513882718, 9.4892015900108, 2.7097607837970012, 5.106832794967247, 1.213381425658537, 11.435089580069748, 3.26491630842536, 5.106445542770991, 4.670006404556506, 1.0412722278620121, 15.7630325929628, 2.964602660651702, 3.554925418195582]"
7,"[0.052890267223119736, 0.08880915492773056, 0.14263921976089478, 0.24382486939430237, 0.06297696381807327, 0.039531055837869644, 0.1724240630865097, 0.20073598623275757, 0.11963686347007751, 0.22117233276367188, 0.03430812060832977, 0.01162667479366064, 0.022654451429843903, 0.12121398001909256, 0.06487694382667542, 0.3148075342178345, 0.4167572855949402, 0.049952711910009384, 0.03169623762369156]","[0.024194566532969475, 0.03692298382520676, 0.008774789981544018, 0.030266430228948593, 0.0047718374989926815, 0.014514775946736336, 0.04921345412731171, 0.07326723635196686, 0.025884252041578293, 0.03763950988650322, 0.042932674288749695, 0.006449209060519934, 0.027716515585780144, 0.040687158703804016, 0.015202624723315239, 0.10564792156219482, 0.1493440717458725, 0.004614195786416531, 0.020357351750135422]","[2.1860390493480084, 2.4052540105683957, 16.25557079552984, 8.055950686946025, 13.19763379020503, 2.7235043780857153, 3.503596041855971, 2.7397783269515776, 4.621994225597204, 5.876068350267756, 0.7991144548225838, 1.8028063107514305, 0.817362895409071, 2.9791704282304616, 4.267483083179579, 2.9797797208202303, 2.7905847264168915, 10.825876105444493, 1.5569921870353647]"
8,"[0.3080117106437683, 0.40423786640167236, 0.05394648760557175, 0.1521764099597931, 0.11021755635738373, 0.4219661056995392, 0.22667379677295685, 0.18038024008274078, 0.10068685561418533, 0.1703745424747467, 0.07893064618110657, 0.039085131138563156, 0.06269829720258713, 0.12045341730117798, 0.05691026896238327, 0.030987847596406937, 0.029408885166049004, 0.015242427587509155, 0.015130202285945415]","[0.06266511976718903, 0.13277709484100342, 0.008698958903551102, 0.018260164186358452, 0.0030780364759266376, 0.03626979887485504, 0.019441992044448853, 0.01818235218524933, 0.015041702426970005, 0.054933056235313416, 0.03578784689307213, 0.027387933805584908, 0.06197042390704155, 0.021457355469465256, 0.03628086298704147, 0.00933731161057949, 0.008423101156949997, 0.004889429081231356, 0.0040417881682515144]","[4.915201818620649, 3.0444849458841907, 6.201487810633251, 8.333791986026002, 35.80774861487076, 11.634090036051397, 11.658980018854475, 9.920621834015327, 6.693847063059315, 3.1014939664912062, 2.205515364389974, 1.4270930920167835, 1.0117454948611844, 5.613618950974103, 1.568602956955849, 3.318711947162249, 3.491455773599893, 3.1174248228732866, 3.743442668468885]"
9,"[0.3110569715499878, 0.10820271074771881, 0.1360638290643692, 0.19866816699504852, 0.10420554131269455, 0.22518940269947052, 0.13426989316940308, 0.1195530965924263, 0.059894997626543045, 0.0485050342977047, 0.0049208072014153, 0.10233322530984879, 0.06507943570613861, 0.08332815021276474, 0.36079636216163635, 0.24954713881015778, 0.10707519203424454, 0.01338941603899002, 0.01301686093211174]","[0.06381843239068985, 0.07444831728935242, 0.005024627782404423, 0.018400531262159348, 0.005859790835529566, 0.024512019008398056, 0.01858324371278286, 0.03073796257376671, 0.03855084627866745, 0.014481636695563793, 0.008510744199156761, 0.020557718351483345, 0.01664799079298973, 0.018031856045126915, 0.06260007619857788, 0.10915207117795944, 0.006572517566382885, 0.0017044779378920794, 0.005207647103816271]","[4.874092952420535, 1.453393638531491, 27.07938477370336, 10.796871251408332, 17.78315032694801, 9.186897359304366, 7.225320576140473, 3.8894281397316424, 1.553662329319256, 3.349416596852164, 0.578187651545543, 4.977849368311095, 3.9091465459929724, 4.621163234900828, 5.763513146807204, 2.286233656558847, 16.29135121401771, 7.855435228189961, 2.499566632034785]"
